name,r,g,b,x,y,z,l,a,b
gray000,0,0,0,,,,,,
gray010,29,29,29,,,,,,
gray020,54,54,54,,,,,,
gray030,79,79,79,,,,,,
gray040,105,105,105,,,,,,
gray050,130,130,130,,,,,,
gray060,154,154,154,,,,,,
gray070,179,179,179,,,,,,
gray080,204,204,204,,,,,,
gray090,230,230,230,,,,,,
gray100,255,255,255,,,,,,
redprimary,255,0,0,,,,,,
greenprimary,0,255,0,,,,,,
blueprimary,0,0,255,,,,,,
white,255,255,255,,,,,,
yellowsecondary,255,255,0,,,,,,
cyansecondary,0,255,255,,,,,,
magentasecondary,255,0,255,,,,,,
white,255,255,255,,,,,,
gray000,0,0,0,,,,,,
gray001,3,3,3,,,,,,
gray002,7,7,7,,,,,,
gray003,11,11,11,,,,,,
gray004,14,14,14,,,,,,
gray096,245,245,245,,,,,,
gray097,247,247,247,,,,,,
gray098,250,250,250,,,,,,
gray099,253,253,253,,,,,,
gray100,255,255,255,,,,,,
red000,129,129,129,,,,,,
red025,172,114,114,,,,,,
red050,204,95,95,,,,,,
red075,231,70,70,,,,,,
red100,255,0,0,,,,,,
green000,219,219,219,,,,,,
green025,178,234,178,,,,,,
green050,139,244,139,,,,,,
green075,97,250,97,,,,,,
green100,0,255,0,,,,,,
blue000,80,80,80,,,,,,
blue025,78,78,102,,,,,,
blue050,75,75,130,,,,,,
blue075,67,67,170,,,,,,
blue100,0,0,255,,,,,,
yellow000,247,247,247,,,,,,
yellow025,249,249,206,,,,,,
yellow050,252,252,163,,,,,,
yellow075,254,254,115,,,,,,
yellow100,255,255,0,,,,,,
cyan000,230,230,230,,,,,,
cyan025,202,237,237,,,,,,
cyan050,169,242,242,,,,,,
cyan075,124,249,249,,,,,,
cyan100,0,255,255,,,,,,
magenta000,146,146,146,,,,,,
magenta025,167,138,167,,,,,,
magenta050,190,124,190,,,,,,
magenta075,218,100,218,,,,,,
magenta100,255,0,255,,,,,,
black,0,0,0,,,,,,
gray35,160,160,160,,,,,,
gray50,188,188,188,,,,,,
gray65,211,211,211,,,,,,
gray80,230,230,230,,,,,,
white,255,255,255,,,,,,
darkskin,117,82,66,,,,,,
lightskin,195,153,132,,,,,,
bluesky,95,124,158,,,,,,
foliage,91,109,66,,,,,,
blueflower,132,130,178,,,,,,
bluishgreen,100,190,171,,,,,,
orange,218,122,38,,,,,,
purplishblue,75,93,165,,,,,,
moderatered,195,84,98,,,,,,
purple,93,61,109,,,,,,
yellowgreen,160,188,64,,,,,,
orangeyellow,230,163,43,,,,,,
blue,50,61,152,,,,,,
green,71,150,71,,,,,,
red,178,47,57,,,,,,
yellow,238,201,29,,,,,,
magenta,188,84,148,,,,,,
cyan,0,135,165,,,,,,
