name,r,g,b,x,y,z,l,a,b
gray000,0,0,0,,,,,,
gray010,26,26,26,,,,,,
gray020,51,51,51,,,,,,
gray030,77,77,77,,,,,,
gray040,102,102,102,,,,,,
gray050,128,128,128,,,,,,
gray060,153,153,153,,,,,,
gray070,178,178,178,,,,,,
gray080,204,204,204,,,,,,
gray090,229,229,229,,,,,,
gray100,255,255,255,,,,,,
red000,129,129,129,,,,,,
red025,172,114,114,,,,,,
red050,204,94,94,,,,,,
red075,232,69,69,,,,,,
red100,255,0,0,,,,,,
green000,218,218,218,,,,,,
green025,176,233,176,,,,,,
green050,136,242,136,,,,,,
green075,94,249,94,,,,,,
green100,0,255,0,,,,,,
blue000,78,78,78,,,,,,
blue025,76,76,100,,,,,,
blue050,72,72,127,,,,,,
blue075,64,64,169,,,,,,
blue100,0,0,255,,,,,,
cyan000,228,228,228,,,,,,
cyan025,200,235,235,,,,,,
cyan050,167,242,242,,,,,,
cyan075,122,248,248,,,,,,
cyan100,0,255,255,,,,,,
magenta000,147,147,147,,,,,,
magenta025,167,137,167,,,,,,
magenta050,190,123,190,,,,,,
magenta075,219,98,219,,,,,,
magenta100,255,0,255,,,,,,
yellow000,247,247,247,,,,,,
yellow025,249,249,205,,,,,,
yellow050,252,252,163,,,,,,
yellow075,254,254,114,,,,,,
yellow100,255,255,0,,,,,,
black,0,0,0,,,,,,
gray35,158,158,158,,,,,,
gray50,186,186,186,,,,,,
gray65,210,210,210,,,,,,
gray80,229,229,229,,,,,,
white,255,255,255,,,,,,
darkskin,115,82,66,,,,,,
lightskin,193,150,130,,,,,,
bluesky,94,122,156,,,,,,
foliage,90,107,66,,,,,,
blueflower,130,128,176,,,,,,
bluishgreen,99,189,169,,,,,,
orange,217,120,41,,,,,,
purplishblue,75,92,163,,,,,,
moderatered,193,84,97,,,,,,
purple,92,62,107,,,,,,
yellowgreen,158,186,64,,,,,,
orangeyellow,229,161,45,,,,,,
blue,51,62,150,,,,,,
green,71,148,71,,,,,,
red,176,49,58,,,,,,
yellow,238,199,33,,,,,,
magenta,186,84,146,,,,,,
cyan,0,133,163,,,,,,
